date_obj,Rope price
2015-03-26,1913
2015-03-27,1817
2015-03-28,1726
2015-03-29,1639
2015-03-30,1557
2015-03-31,1479
2015-04-01,1405
2015-04-02,1334
2015-04-03,1267
2015-04-04,1203
2015-04-05,1142
2015-04-06,1084
2015-04-07,1029
2015-04-08,977
2015-04-09,928
2015-04-10,881
2015-04-11,836
2015-04-12,794
2015-04-13,754
2015-04-14,716
2015-04-15,683
2015-04-16,648
2015-04-17,615
2015-04-18,584
2015-04-19,554
2015-04-20,526
2015-04-21,499
2015-04-22,474
2015-04-23,450
2015-04-24,427
2015-04-25,405
2015-04-26,384
2015-04-27,364
2015-04-28,345
2015-04-29,327
2015-04-30,310
2015-05-01,294
2015-05-02,279
2015-05-03,265
2015-05-04,251
2015-05-05,238
2015-05-06,226
2015-05-07,214
2015-05-08,203
2015-05-09,192
2015-05-10,182
2015-05-11,172
2015-05-12,163
2015-05-13,154
2015-05-14,146
2015-05-15,141
2015-05-16,135
2015-05-17,129
2015-05-18,124
2015-05-19,118
2015-05-20,113
2015-05-21,113
2015-05-22,113
2015-05-23,109
2015-05-24,108
2015-05-25,104
2015-05-26,101
2015-05-27,95
2015-05-28,92
2015-05-29,88
2015-05-30,85
2015-05-31,84
2015-06-01,83
2015-06-02,83
2015-06-03,82
2015-06-04,82
2015-06-05,83
2015-06-06,84
2015-06-07,81
2015-06-08,79
2015-06-09,78
2015-06-10,74
2015-06-11,71
2015-06-12,68
2015-06-13,64
2015-06-14,60
2015-06-15,57
2015-06-16,54
2015-06-17,51
2015-06-18,48
2015-06-19,45
2015-06-20,42
2015-06-21,39
2015-06-22,37
2015-06-23,35
2015-06-24,33
2015-06-25,35
2015-06-26,37
2015-06-27,39
2015-06-28,41
2015-06-29,44
2015-06-30,47
2015-07-01,49
2015-07-02,52
2015-07-03,55
2015-07-04,58
2015-07-05,60
2015-07-06,62
2015-07-07,65
2015-07-08,67
2015-07-09,69
2015-07-10,72
2015-07-11,74
2015-07-12,74
2015-07-13,77
2015-07-14,80
2015-07-15,82
2015-07-16,85
2015-07-17,88
2015-07-18,92
2015-07-19,93
2015-07-20,92
2015-07-21,91
2015-07-22,90
2015-07-23,92
2015-07-24,93
2015-07-25,94
2015-07-26,93
2015-07-27,95
2015-07-28,97
2015-07-29,95
2015-07-30,96
2015-07-31,93
2015-08-01,92
2015-08-02,88
2015-08-03,85
2015-08-04,81
2015-08-05,80
2015-08-06,82
2015-08-07,84
2015-08-08,85
2015-08-09,86
2015-08-10,86
2015-08-11,87
2015-08-12,89
2015-08-13,91
2015-08-14,91
2015-08-15,94
2015-08-16,94
2015-08-17,93
2015-08-18,97
2015-08-19,98
2015-08-20,100
2015-08-21,99
2015-08-22,94
2015-08-23,89
2015-08-24,86
2015-08-25,86
2015-08-26,85
2015-08-27,80
2015-08-28,79
2015-08-29,78
2015-08-30,78
2015-08-31,77
2015-09-01,73
2015-09-02,69
2015-09-03,65
2015-09-04,65
2015-09-05,63
2015-09-06,63
2015-09-07,64
2015-09-08,65
2015-09-09,68
2015-09-10,70
2015-09-11,71
2015-09-12,71
2015-09-13,71
2015-09-14,73
2015-09-15,74
2015-09-16,73
2015-09-17,75
2015-09-18,76
2015-09-19,74
2015-09-20,71
2015-09-21,69
2015-09-22,68
2015-09-23,66
2015-09-24,63
2015-09-25,63
2015-09-27,70
2015-09-28,74
2015-09-29,77
2015-09-30,80
2015-10-05,93
2015-10-06,89
2015-10-07,85
2015-10-08,81
2015-10-09,82
2015-10-10,82
2015-10-11,80
2015-10-12,83
2015-10-13,78
2015-10-14,74
2015-10-15,76
2015-10-16,79
2015-10-17,79
2015-10-18,82
2015-10-19,86
2015-10-20,90
2015-10-22,91
2015-10-23,94
2015-10-24,94
2015-10-25,96
2015-10-26,98
2015-10-27,100
2015-10-29,103
2015-10-30,107
2015-10-31,112
2015-11-01,116
2015-11-02,117
2015-11-03,114
2015-11-04,108
2015-11-05,107
2015-11-06,109
2015-11-07,105
2015-11-08,99
2015-11-09,98
2015-11-10,101
2015-11-11,105
2015-11-12,109
2015-11-13,109
2015-11-14,103
2015-11-15,98
2015-11-16,96
2015-11-17,96
2015-11-18,98
2015-11-19,100
2015-11-20,102
2015-11-21,102
2015-11-22,103
2015-11-23,103
2015-11-24,103
2015-11-25,100
2015-11-26,100
2015-11-27,101
2015-11-28,104
2015-11-29,104
2015-11-30,104
2015-12-01,108
2015-12-02,107
2015-12-03,106
2015-12-04,109
2015-12-05,110
2015-12-06,112
2015-12-07,113
2015-12-08,111
2015-12-09,114
2015-12-10,115
2015-12-11,116
2015-12-12,117
2015-12-13,117
2015-12-14,117
2015-12-15,120
2015-12-16,123
2015-12-17,122
2015-12-18,120
2015-12-19,117
2015-12-20,113
2015-12-21,108
2015-12-22,102
2015-12-23,97
2015-12-24,101
2015-12-25,101
2015-12-26,101
2015-12-27,97
2015-12-28,93
2015-12-29,92
2015-12-30,91
2015-12-31,92
2016-01-01,91
2016-01-02,92
2016-01-03,93
2016-01-04,92
2016-01-05,91
2016-01-06,94
2016-01-07,97
2016-01-08,93
2016-01-09,94
2016-01-10,99
2016-01-11,98
2016-01-12,98
2016-01-13,95
2016-01-14,96
2016-01-15,101
2016-01-16,107
2016-01-17,104
2016-01-18,105
2016-01-19,100
2016-01-20,96
2016-01-21,99
2016-01-22,98
2016-01-23,99
2016-01-24,102
2016-01-25,97
2016-01-26,92
2016-01-27,87
2016-01-28,87
2016-01-29,82
2016-01-30,77
2016-01-31,73
2016-02-01,69
2016-02-02,65
2016-02-03,63
2016-02-04,61
2016-02-05,60
2016-02-06,61
2016-02-07,62
2016-02-08,65
2016-02-09,69
2016-02-10,72
2016-02-11,75
2016-02-12,77
2016-02-13,80
2016-02-14,77
2016-02-15,79
2016-02-16,82
2016-02-17,84
2016-02-18,81
2016-02-19,79
2016-02-20,79
2016-02-21,79
2016-02-22,77
2016-02-23,77
2016-02-24,76
2016-02-25,74
2016-02-26,72
2016-02-27,74
2016-02-28,77
2016-02-29,81
2016-03-01,86
2016-03-02,88
2016-03-03,93
2016-03-04,98
2016-03-05,102
2016-03-06,106
2016-03-07,110
2016-03-08,110
2016-03-09,111
2016-03-10,111
2016-03-11,107
2016-03-12,109
2016-03-13,112
2016-03-14,116
2016-03-15,116
2016-03-16,115
2016-03-17,116
2016-03-18,117
2016-03-19,121
2016-03-20,115
2016-03-21,116
2016-03-22,115
2016-03-23,116
2016-03-24,119
2016-03-25,114
2016-03-26,110
2016-03-27,112
2016-03-28,115
2016-03-29,116
2016-03-30,120
2016-03-31,123
2016-04-01,124
2016-04-02,126
2016-04-03,127
2016-04-04,124
2016-04-05,127
2016-04-06,130
2016-04-07,133
2016-04-08,135
2016-04-09,137
2016-04-10,134
2016-04-11,134
2016-04-12,127
2016-04-13,130
2016-04-14,126
2016-04-15,122
2016-04-16,120
2016-04-17,114
2016-04-18,108
2016-04-19,102
2016-04-20,96
2016-04-21,93
2016-04-22,91
2016-04-23,89
2016-04-24,84
2016-04-25,87
2016-04-26,88
2016-04-27,92
2016-04-28,95
2016-04-29,95
2016-04-30,97
2016-05-01,99
2016-05-02,103
2016-05-03,106
2016-05-04,102
2016-05-05,102
2016-05-06,97
2016-05-07,96
2016-05-08,95
2016-05-09,98
2016-05-10,99
2016-05-11,96
2016-05-12,95
2016-05-13,97
2016-05-14,98
2016-05-15,99
2016-05-16,99
2016-05-17,101
2016-05-18,104
2016-05-19,104
2016-05-22,92
2016-05-23,93
2016-05-24,95
2016-05-25,96
2016-05-26,99
2016-05-27,102
2016-05-28,106
2016-05-29,108
2016-05-30,113
2016-05-31,113
2016-06-01,110
2016-06-02,108
2016-06-03,106
2016-06-04,100
2016-06-05,95
2016-06-06,90
2016-06-07,86
2016-06-08,81
2016-06-09,80
2016-06-10,78
2016-06-11,80
2016-06-12,83
2016-06-13,85
2016-06-14,88
2016-06-15,90
2016-06-16,94
2016-06-17,95
2016-06-18,95
2016-06-19,96
2016-06-20,99
2016-06-21,100
2016-06-22,99
2016-06-23,97
2016-06-24,96
2016-06-25,95
2016-06-26,94
2016-06-27,94
2016-06-28,96
2016-06-29,91
2016-06-30,91
2016-07-01,92
2016-07-02,93
2016-07-03,92
2016-07-04,93
2016-07-05,94
2016-07-06,96
2016-07-07,97
2016-07-08,96
2016-07-09,97
2016-07-10,98
2016-07-11,99
2016-07-12,101
2016-07-13,102
2016-07-14,102
2016-07-15,104
2016-07-16,106
2016-07-17,104
2016-07-18,102
2016-07-23,93
2016-07-24,91
2016-07-25,89
2016-07-26,87
2016-07-27,88
2016-07-28,87
2016-07-29,83
2016-07-30,79
2016-07-31,75
2016-08-01,71
2016-08-02,67
2016-08-03,63
2016-08-04,59
2016-08-05,57
2016-08-06,55
2016-08-07,52
2016-08-08,49
2016-08-09,46
2016-08-10,46
2016-08-11,46
2016-08-12,49
2016-08-13,52
2016-08-14,55
2016-08-15,58
2016-08-16,61
2016-08-17,64
2016-08-18,68
2016-08-19,72
2016-08-20,75
2016-08-21,77
2016-08-22,78
2016-08-23,80
2016-08-24,81
2016-08-25,82
2016-08-26,82
2016-08-28,75
2016-08-31,69
2016-09-01,67
2016-09-02,67
2016-09-03,69
2016-09-04,72
2016-09-05,76
2016-09-06,80
2016-09-07,83
2016-09-08,86
2016-09-09,90
2016-09-10,93
2016-09-11,92
2016-09-12,87
2016-09-13,84
2016-09-14,88
2016-09-15,92
2016-09-16,94
2016-09-17,94
2016-09-18,90
2016-09-19,90
2016-09-20,92
2016-09-21,95
2016-09-22,96
2016-09-23,98
2016-09-24,98
2016-09-25,98
2016-09-26,97
2016-09-27,99
2016-09-28,99
2016-09-29,98
2016-09-30,96
2016-10-01,93
2016-10-02,88
2016-10-03,83
2016-10-04,79
2016-10-05,78
2016-10-06,80
2016-10-07,81
2016-10-08,78
2016-10-09,76
2016-10-10,79
2016-10-11,80
2016-10-12,80
2016-10-13,81
2016-10-14,81
2016-10-15,81
2016-10-16,81
2016-10-17,81
2016-10-18,81
2016-10-19,80
2016-10-20,81
2016-10-21,85
2016-10-22,87
2016-10-23,88
2016-10-24,91
2016-10-25,95
2016-10-26,97
2016-10-27,95
2016-10-28,97
2016-10-29,98
2016-10-30,98
2016-10-31,98
2016-11-01,97
2016-11-02,97
2016-11-03,99
2016-11-04,99
2016-11-05,94
2016-11-06,89
2016-11-07,84
2016-11-08,83
2016-11-09,87
2016-11-10,91
2016-11-11,94
2016-11-12,96
2016-11-13,92
2016-11-14,93
2016-12-08,82
2016-12-09,81
2016-12-10,79
2016-12-11,77
2016-12-12,75
2016-12-13,72
2016-12-14,68
2016-12-15,64
2016-12-16,64
2016-12-17,63
2016-12-18,61
2016-12-19,61
2016-12-20,63
2016-12-21,60
2016-12-22,58
2016-12-23,58
2016-12-24,58
2016-12-25,57
2016-12-26,57
2016-12-27,56
2016-12-28,55
2016-12-29,57
2016-12-30,58
2016-12-31,60
2017-01-01,62
2017-01-02,61
2017-01-03,64
2017-01-04,65
2017-01-05,66
2017-01-06,64
2017-01-07,60
2017-01-08,58
2017-01-09,55
2017-01-10,53
2017-01-11,55
2017-01-12,56
2017-01-13,58
2017-01-14,59
2017-01-15,58
2017-01-16,57
2017-01-17,54
2017-01-18,51
2017-01-19,49
2017-01-20,50
2017-01-21,50
2017-01-22,51
2017-01-27,60
2017-01-28,60
2017-01-29,58
2017-01-30,55
2017-01-31,52
2017-02-01,50
2017-02-02,53
2017-02-03,56
2017-02-04,57
2017-02-05,60
2017-02-06,62
2017-02-07,64
2017-02-08,63
2017-02-09,59
2017-02-10,56
2017-02-11,53
2017-02-12,53
2017-02-13,51
2017-02-14,50
2017-02-15,52
2017-02-16,50
2017-02-18,45
2017-02-19,45
2017-02-20,45
2017-02-21,44
2017-02-22,44
2017-02-23,44
2017-02-24,44
2017-02-25,46
2017-02-26,47
2017-02-27,46
2017-02-28,45
2017-03-01,45
2017-03-02,45
2017-03-03,44
2017-03-04,41
2017-03-05,38
2017-03-06,39
2017-03-07,38
2017-03-08,38
2017-03-09,39
2017-03-10,40
2017-03-11,42
2017-03-12,45
2017-03-13,48
2017-03-14,51
2017-03-15,51
2017-03-16,53
2017-03-17,56
2017-03-18,58
2017-03-19,59
2017-03-20,56
2017-03-21,54
2017-03-22,55
2017-03-23,56
2017-03-24,57
2017-03-25,57
2017-03-26,57
2017-03-27,56
2017-03-28,55
2017-03-29,54
2017-03-30,55
2017-03-31,58
2017-04-01,61
2017-04-02,65
2017-04-03,68
2017-04-04,72
2017-04-12,72
2017-04-13,71
2017-04-14,69
2017-04-15,68
2017-04-16,65
2017-04-17,63
2017-04-18,60
2017-04-19,62
2017-04-20,64
2017-04-21,65
2017-04-22,61
2017-04-23,64
2017-04-24,62
2017-04-25,63
2017-04-26,64
2017-04-27,65
2017-04-28,61
2017-04-29,60
2017-04-30,59
2017-05-01,58
2017-05-02,58
2017-05-03,57
2017-05-04,55
2017-05-05,52
2017-05-06,49
2017-05-07,47
2017-05-08,47
2017-05-09,47
2017-05-10,45
2017-05-11,45
2017-05-12,44
2017-05-13,44
2017-05-14,44
2017-05-15,44
2017-05-16,44
2017-05-17,42
2017-05-18,42
2017-05-19,42
2017-05-20,43
2017-05-21,43
2017-05-22,43
2017-05-23,41
2017-05-24,42
2017-05-25,41
2017-05-26,40
2017-05-27,40
2017-05-28,41
2017-05-29,41
2017-05-30,40
2017-05-31,41
2017-06-01,41
2017-06-02,41
2017-06-03,40
2017-06-06,40
2017-06-07,40
2017-06-08,41
2017-06-09,43
2017-06-10,45
2017-06-11,46
2017-06-12,43
2017-06-13,42
2017-06-14,44
2017-06-15,47
2017-06-16,50
2017-06-17,52
2017-06-18,54
2017-06-19,56
2017-06-20,58
2017-06-21,60
2017-06-22,62
2017-06-23,62
2017-06-24,62
2017-06-25,59
2017-06-26,59
2017-06-27,57
2017-06-28,54
2017-06-29,53
2017-06-30,54
2017-07-01,56
2017-07-02,57
2017-07-03,58
2017-07-04,60
2017-07-05,60
2017-07-06,63
2017-07-07,66
2017-07-08,69
2017-07-13,70
2017-07-14,69
2017-07-15,66
2017-07-16,67
2017-07-17,66
2017-07-18,66
2017-07-19,65
2017-07-20,65
2017-07-21,64
2017-07-22,60
2017-07-23,57
2017-07-24,54
2017-07-25,52
2017-07-26,49
2017-07-27,50
2017-07-28,52
2017-07-29,54
2017-07-30,54
2017-07-31,54
2017-08-01,55
2017-08-02,53
2017-08-03,53
2017-08-04,53
2017-08-05,52
2017-08-06,50
2017-08-09,52
2017-08-10,51
2017-08-11,51
2017-08-12,52
2017-08-13,50
2017-08-14,49
2017-08-15,50
2017-08-17,53
2017-08-18,52
2017-08-19,53
2017-08-20,54
2017-08-21,56
2017-08-22,54
2017-08-23,53
2017-08-24,55
2017-08-25,56
2017-08-26,57
2017-08-27,58
2017-08-28,58
2017-08-29,59
2017-08-30,60
2017-08-31,61
2017-09-01,64
2017-09-02,62
2017-09-03,62
2017-09-04,65
2017-09-05,66
2017-09-06,63
2017-09-07,59
2017-09-08,56
2017-09-09,53
2017-09-10,50
2017-09-11,48
2017-09-12,49
2017-09-13,50
2017-09-14,50
2017-09-15,51
2017-09-16,49
2017-09-17,49
2017-09-19,48
2017-09-20,47
2017-09-21,48
2017-09-22,49
2017-09-23,49
2017-09-24,49
2017-09-25,48
2017-09-26,46
2017-09-27,43
2017-09-28,41
2017-09-29,42
2017-09-30,43
2017-10-01,44
2017-10-02,44
2017-10-03,43
2017-10-04,44
2017-10-05,45
2017-10-06,47
2017-10-07,49
2017-10-08,52
2017-10-09,54
2017-10-10,57
2017-10-11,59
2017-10-12,61
2017-10-13,64
2017-10-14,66
2017-10-15,67
2017-10-16,68
2017-10-17,66
2017-10-18,68
2017-10-19,69
2017-10-20,70
2017-10-21,72
2017-10-22,74
2017-10-23,76
2017-10-24,76
2017-10-25,78
2017-10-26,77
2017-10-27,76
2017-10-28,75
2017-10-29,71
2017-10-30,67
2017-10-31,63
2017-11-01,59
2017-11-02,56
2017-11-03,53
