date_obj,Rope price
2017-11-04,50
2017-11-05,48
2017-11-06,51
2017-11-07,53
2017-11-08,56
2017-11-09,58
2017-11-10,60
2017-11-11,60
2017-11-12,59
2017-11-13,61
2017-11-14,65
2017-11-15,67
2017-11-16,69
2017-11-17,70
2017-11-18,66
2017-11-19,63
2017-11-20,64
2017-11-21,65
2017-11-22,66
2017-11-23,64
2017-11-24,60
2017-11-25,57
2017-11-26,56
2017-11-27,57
2017-11-28,55
2017-11-29,54
2017-11-30,51
2017-12-01,49
2017-12-02,47
2017-12-03,44
2017-12-04,45
2017-12-05,48
2017-12-06,49
2017-12-07,49
2017-12-08,48
2017-12-09,50
2017-12-10,53
2017-12-11,55
2017-12-12,56
2017-12-14,57
2017-12-15,55
2017-12-16,55
2017-12-17,56
2017-12-18,55
2017-12-19,53
2017-12-20,51
2017-12-21,48
2017-12-22,46
2017-12-23,45
2017-12-24,48
2017-12-25,50
2017-12-26,52
2017-12-27,55
2017-12-28,56
2017-12-29,58
2017-12-30,60
2017-12-31,62
2018-01-01,61
2018-01-02,60
2018-01-03,58
2018-01-04,56
2018-01-05,56
2018-01-06,59
2018-01-07,60
2018-01-08,57
2018-01-09,55
2018-01-10,56
2018-01-11,54
2018-01-12,51
2018-01-13,48
2018-01-14,50
2018-01-15,53
2018-01-16,55
2018-01-17,54
2018-01-18,55
2018-01-19,57
2018-01-20,59
2018-01-21,57
2018-01-22,56
2018-01-23,56
2018-01-24,55
2018-01-25,53
2018-01-26,51
2018-01-27,54
2018-01-28,57
2018-01-29,60
2018-01-31,64
2018-02-01,68
2018-02-02,72
2018-02-03,71
2018-02-04,69
2018-02-05,65
2018-02-06,61
2018-02-07,57
2018-02-08,55
2018-02-09,57
2018-02-10,59
2018-02-11,62
2018-02-12,65
2018-02-13,68
2018-02-14,70
2018-02-15,72
2018-02-16,73
2018-02-17,72
2018-02-18,74
2018-02-19,77
2018-02-20,78
2018-02-21,80
2018-02-22,81
2018-02-23,82
2018-02-24,78
2018-02-25,77
2018-02-26,75
2018-02-27,72
2018-02-28,69
2018-03-01,67
2018-03-02,69
2018-03-03,72
2018-03-04,76
2018-03-05,77
2018-03-06,77
2018-03-07,80
2018-03-08,81
2018-03-09,81
2018-03-10,82
2018-03-11,79
2018-03-12,75
2018-03-13,71
2018-03-14,67
2018-03-15,64
2018-03-16,60
2018-03-17,61
2018-03-18,59
2018-03-19,56
2018-03-20,54
2018-03-21,54
2018-03-23,59
2018-03-24,62
2018-03-26,59
2018-03-27,61
2018-03-29,67
2018-03-30,63
2018-03-31,62
2018-04-01,64
2018-04-02,66
2018-04-03,64
2018-04-04,64
2018-04-05,65
2018-04-06,63
2018-04-08,68
2018-04-09,71
2018-04-10,73
2018-04-11,71
2018-04-12,69
2018-04-13,69
2018-04-14,67
2018-04-15,64
2018-04-16,60
2018-04-17,57
2018-04-18,54
2018-04-19,51
2018-04-20,49
2018-04-21,47
2018-04-22,45
2018-04-23,47
2018-04-24,50
2018-04-25,50
2018-04-26,53
2018-04-27,53
2018-04-28,52
2018-04-29,49
2018-04-30,46
2018-05-01,47
2018-05-02,50
2018-05-03,50
2018-05-04,52
2018-05-05,53
2018-05-06,52
2018-05-07,55
2018-05-08,57
2018-05-09,55
2018-05-10,56
2018-05-11,59
2018-05-12,62
2018-05-13,66
2018-05-14,65
2018-05-15,67
2018-05-16,69
2018-05-17,71
2018-05-18,72
2018-05-19,71
2018-05-20,70
2018-05-21,71
2018-05-22,74
2018-05-23,76
2018-05-24,79
2018-05-25,82
2018-05-26,79
2018-05-27,75
2018-05-28,71
2018-05-29,68
2018-05-30,70
2018-05-31,71
2018-06-01,72
2018-06-02,71
2018-06-03,71
2018-06-04,71
2018-06-05,70
2018-06-06,70
2018-06-07,69
2018-06-08,70
2018-06-09,67
2018-06-10,67
2018-06-11,68
2018-06-12,67
2018-06-13,64
2018-06-14,62
2018-06-15,63
2018-06-16,59
2018-06-17,59
2018-06-18,60
2018-06-19,62
2018-06-20,66
2018-06-21,68
2018-06-22,67
2018-06-23,66
2018-06-24,62
2018-06-25,60
2018-06-26,60
2018-06-27,58
2018-06-28,56
2018-06-29,56
2018-06-30,56
2018-07-01,54
2018-07-02,54
2018-07-03,52
2018-07-04,50
2018-07-05,49
2018-07-06,50
2018-07-07,52
2018-07-08,53
2018-07-09,55
2018-07-10,57
2018-07-11,60
2018-07-12,62
2018-07-13,64
2018-07-14,65
2018-07-15,64
2018-07-16,61
2018-07-17,61
2018-07-18,57
2018-07-19,54
2018-07-20,51
2018-07-21,50
2018-07-22,49
2018-07-23,49
2018-07-24,49
2018-07-25,49
2018-07-26,49
2018-07-27,49
2018-07-28,50
2018-07-29,49
2018-07-30,49
2018-07-31,47
2018-08-01,46
2018-08-02,45
2018-08-03,45
2018-08-04,45
2018-08-05,45
2018-08-06,46
2018-08-07,47
2018-08-08,47
2018-08-09,45
2018-08-10,45
2018-08-11,48
2018-08-12,47
2018-08-14,43
2018-08-16,42
2018-08-17,44
2018-08-18,47
2018-08-19,49
2018-08-20,52
2018-08-21,55
2018-08-22,58
2018-08-23,60
2018-08-24,61
2018-08-25,63
2018-08-26,63
2018-08-27,62
2018-08-28,65
2018-08-29,63
2018-08-30,66
2018-08-31,68
2018-09-01,68
2018-09-02,68
2018-09-03,70
2018-09-04,68
2018-09-05,70
2018-09-06,73
2018-09-07,70
2018-09-08,67
2018-09-09,68
2018-09-10,65
2018-09-11,68
2018-09-12,70
2018-09-13,72
2018-09-14,73
2018-09-15,73
2018-09-16,76
2018-09-17,75
2018-09-18,72
2018-09-19,70
2018-09-20,72
2018-09-21,71
2018-09-22,70
2018-09-23,69
2018-09-24,65
2018-09-25,66
2018-09-26,66
2018-09-27,66
2018-09-28,67
2018-09-29,68
2018-09-30,68
2018-10-02,66
2018-10-03,66
2018-10-04,68
2018-10-05,67
2018-10-06,66
2018-10-07,66
2018-10-08,64
2018-10-09,62
2018-10-10,58
2018-10-11,59
2018-10-12,59
2018-10-13,59
2018-10-14,57
2018-10-15,56
2018-10-16,53
2018-10-17,51
2018-10-18,49
2018-10-19,48
2018-10-20,48
2018-10-21,45
2018-10-22,44
2018-10-23,45
2018-10-24,45
2018-10-25,44
2018-10-26,47
2018-10-27,50
2018-10-28,52
2018-10-29,54
2018-10-30,56
2018-10-31,58
2018-11-01,55
2018-11-03,50
2018-11-04,48
2018-11-05,49
2018-11-06,48
2018-11-07,49
2018-11-08,47
2018-11-09,47
2018-11-10,47
2018-11-11,44
2018-11-12,41
2018-11-13,42
2018-11-14,43
2018-11-15,41
2018-11-16,43
2018-11-17,46
2018-11-18,48
2018-11-19,50
2018-11-20,52
2018-11-21,54
2018-11-22,54
2018-11-23,52
2018-11-24,54
2018-11-25,56
2018-11-26,57
2018-11-27,58
2018-11-28,58
2018-11-29,59
2018-12-01,62
2018-12-02,65
2018-12-03,66
2018-12-04,63
2018-12-05,63
2018-12-07,62
2018-12-09,62
2018-12-10,61
2018-12-11,58
2018-12-12,56
2018-12-13,56
2018-12-14,57
2018-12-15,55
2018-12-16,56
2018-12-17,55
2018-12-18,54
2018-12-19,51
2018-12-20,49
2018-12-21,49
2018-12-22,48
2018-12-23,46
2018-12-24,46
2018-12-25,45
2018-12-26,45
2018-12-27,45
2018-12-28,44
2018-12-29,44
2018-12-30,45
2018-12-31,47
2019-01-01,48
2019-01-02,48
2019-01-03,48
2019-01-04,50
2019-01-05,49
2019-01-06,47
2019-01-08,46
2019-01-10,46
2019-01-11,44
2019-01-12,42
2019-01-13,39
2019-01-14,39
2019-01-15,40
2019-01-16,40
2019-01-17,38
2019-01-18,38
2019-01-19,39
2019-01-20,41
2019-01-21,44
2019-01-22,46
2019-01-23,49
2019-01-24,48
2019-01-25,47
2019-01-26,46
2019-01-28,45
2019-01-29,44
2019-01-30,44
2019-01-31,47
2019-02-01,50
2019-02-02,51
2019-02-03,52
2019-02-04,50
2019-02-05,50
2019-02-06,50
2019-02-07,49
2019-02-08,49
2019-02-09,51
2019-02-10,53
2019-02-11,56
2019-02-12,59
2019-02-13,62
2019-02-14,66
2019-02-15,69
2019-02-16,71
2019-02-17,74
2019-02-18,75
2019-02-19,78
2019-02-20,81
2019-02-21,83
2019-02-22,86
2019-02-23,84
2019-02-24,80
2019-02-25,76
2019-02-26,72
2019-02-27,69
2019-02-28,65
2019-03-01,65
2019-03-02,63
2019-03-03,59
2019-03-04,58
2019-03-05,58
2019-03-06,58
2019-03-07,60
2019-03-08,63
2019-03-09,66
2019-03-10,68
2019-03-11,70
2019-03-12,70
2019-03-13,66
2019-03-14,63
2019-03-15,59
2019-03-16,56
2019-03-17,54
2019-03-18,54
2019-03-19,53
2019-03-20,52
2019-03-21,51
2019-03-22,51
2019-03-23,51
2019-03-24,53
2019-03-25,55
2019-03-26,57
2019-03-27,58
2019-03-28,57
2019-03-29,54
2019-03-30,54
2019-03-31,52
2019-04-01,50
2019-04-02,49
2019-04-03,49
2019-04-04,49
2019-04-05,49
2019-04-06,48
2019-04-07,46
2019-04-08,46
2019-04-09,48
2019-04-10,49
2019-04-11,52
2019-04-12,54
2019-04-13,55
2019-04-14,56
2019-04-15,58
2019-04-16,59
2019-04-17,59
2019-04-18,59
2019-04-19,61
2019-04-20,62
2019-04-21,58
2019-04-22,56
2019-04-23,54
2019-04-24,54
2019-04-25,56
2019-04-26,58
2019-04-27,57
2019-04-28,58
2019-04-29,56
2019-04-30,55
2019-05-01,52
2019-05-02,50
2019-05-03,51
2019-05-04,51
2019-05-05,50
2019-05-06,49
2019-05-07,48
2019-05-08,46
2019-05-09,45
2019-05-10,44
2019-05-11,44
2019-05-12,45
2019-05-13,46
2019-05-14,47
2019-05-15,44
2019-05-16,46
2019-05-17,49
2019-05-18,51
2019-05-19,51
2019-05-20,54
2019-05-21,56
2019-05-22,58
2019-05-23,58
2019-05-24,60
2019-05-25,59
2019-05-26,57
2019-05-27,56
2019-05-28,57
2019-05-29,57
2019-05-30,56
2019-05-31,56
2019-06-01,54
2019-06-02,53
2019-06-03,53
2019-06-04,52
2019-06-05,53
2019-06-06,52
2019-06-07,50
2019-06-08,48
2019-06-09,48
2019-06-10,47
2019-06-11,48
2019-06-12,49
2019-06-13,51
2019-06-14,51
2019-06-15,50
2019-06-16,47
2019-06-17,45
2019-06-18,45
2019-06-19,45
2019-06-20,44
2019-06-21,47
2019-06-22,48
2019-06-23,51
2019-06-24,54
2019-06-25,56
2019-06-26,57
2019-06-27,60
2019-06-28,62
2019-06-29,65
2019-06-30,67
2019-07-01,67
2019-07-02,64
2019-07-03,67
2019-07-04,70
2019-07-05,70
2019-07-06,71
2019-07-07,73
2019-07-08,70
2019-07-09,68
2019-07-10,66
2019-07-11,63
2019-07-12,62
2019-07-13,64
2019-07-14,63
2019-07-15,59
2019-07-16,57
2019-07-17,57
2019-07-18,59
2019-07-19,60
2019-07-20,58
2019-07-21,57
2019-07-22,60
2019-07-23,61
2019-07-24,65
2019-07-25,68
2019-07-26,71
2019-07-27,73
2019-07-28,74
2019-07-29,72
2019-07-30,69
2019-07-31,69
2019-08-01,72
2019-08-02,72
2019-08-03,70
2019-08-04,70
2019-08-05,69
2019-08-06,67
2019-08-07,65
2019-08-08,64
2019-08-09,64
2019-08-10,60
2019-08-11,57
2019-08-12,54
2019-08-13,51
2019-08-14,51
2019-08-15,52
2019-08-16,51
2019-08-17,49
2019-08-18,47
2019-08-19,49
2019-08-20,52
2019-08-21,55
2019-08-22,56
2019-08-23,58
2019-08-24,56
2019-08-24,56
2019-08-25,54
2019-08-25,54
2019-08-26,52
2019-08-26,52
2019-08-27,49
2019-08-27,49
2019-08-28,49
2019-08-29,51
2019-08-30,52
2019-08-31,50
2019-09-01,48
2019-09-02,45
2019-09-03,44
2019-09-04,42
2019-09-05,44
2019-09-06,46
2019-09-07,46
2019-09-08,46
2019-09-09,45
2019-09-10,43
2019-09-11,44
2019-09-12,46
2019-09-13,47
2019-09-14,46
2019-09-15,46
2019-09-16,46
2019-09-17,45
2019-09-18,47
2019-09-19,47
2019-09-20,47
2019-09-21,46
2019-09-22,49
2019-09-23,51
2019-09-24,54
2019-09-25,57
2019-09-26,60
2019-09-27,59
2019-09-28,61
2019-09-29,65
2019-09-30,67
2019-10-01,69
2019-10-02,68
2019-10-03,69
2019-10-04,67
2019-10-05,67
2019-10-06,67
2019-10-07,67
2019-10-08,66
2019-10-09,70
2019-10-10,69
2019-10-11,66
2019-10-12,65
2019-10-13,65
2019-10-14,65
2019-10-15,66
2019-10-16,67
2019-10-17,66
2019-10-18,67
2019-10-19,70
2019-10-20,67
2019-10-21,66
2019-10-22,66
2019-10-23,65
2019-10-24,63
2019-10-25,60
2019-10-26,57
2019-10-27,55
2019-10-28,53
2019-10-29,50
2019-10-30,48
2019-10-31,45
2019-11-01,43
2019-11-02,41
2019-11-03,39
2019-11-04,40
2019-11-05,41
2019-11-06,41
2019-11-07,39
2019-11-08,39
2019-11-09,38
2019-11-10,39
2019-11-11,41
2019-11-12,42
2019-11-13,45
2019-11-14,46
2019-11-15,48
2019-11-16,48
2019-11-17,47
2019-11-18,47
2019-11-19,47
2019-11-20,48
2019-11-21,48
2019-11-22,49
2019-11-23,52
2019-11-24,55
2019-11-25,53
2019-11-26,53
2019-11-27,55
2019-11-28,58
2019-11-29,61
2019-11-30,65
2019-12-01,68
2019-12-02,67
2019-12-03,63
2019-12-04,59
2019-12-05,56
2019-12-06,54
2019-12-07,52
2019-12-08,54
2019-12-09,55
2019-12-10,52
2019-12-11,51
2019-12-12,54
2019-12-13,55
2019-12-14,57
2019-12-15,59
2019-12-16,61
2019-12-17,64
2019-12-18,68
2019-12-19,71
2019-12-20,70
2019-12-21,70
2019-12-22,72
2019-12-23,74
2019-12-24,77
2019-12-25,79
2019-12-26,79
2019-12-27,76
2019-12-28,72
2019-12-29,69
2019-12-30,68
2019-12-31,69
2020-01-01,68
2020-01-02,67
2020-01-03,68
2020-01-04,70
2020-01-05,71
2020-01-06,73
2020-01-07,70
2020-01-08,66
2020-01-09,63
2020-01-10,59
2020-01-11,58
2020-01-12,55
2020-01-13,52
2020-01-14,51
2020-01-15,52
2020-01-16,53
2020-01-17,55
2020-01-18,55
2020-01-19,56
2020-01-20,59
2020-01-21,60
2020-01-22,61
2020-01-23,64
2020-01-24,66
2020-01-25,69
2020-01-26,70
2020-01-27,70
2020-01-28,73
2020-01-29,73
2020-01-30,76
2020-01-31,78
2020-02-01,79
2020-02-02,76
2020-02-03,72
2020-02-04,68
2020-02-05,64
2020-02-06,61
2020-02-07,60
2020-02-08,61
2020-02-09,60
2020-02-10,60
2020-02-11,60
2020-02-12,60
2020-02-13,61
2020-02-14,61
2020-02-15,63
2020-02-16,66
2020-02-17,67
2020-02-18,65
2020-02-19,64
2020-02-20,66
2020-02-21,63
2020-02-22,64
2020-02-23,66
2020-02-24,64
2020-02-25,62
2020-02-26,58
2020-02-27,58
2020-02-28,59
2020-02-29,60
2020-03-01,61
2020-03-02,60
2020-03-03,59
2020-03-04,61
2020-03-05,62
2020-03-06,59
2020-03-07,57
2020-03-08,54
2020-03-09,53
2020-03-10,50
2020-03-11,47
2020-03-12,46
2020-03-13,49
2020-03-14,51
2020-03-15,53
2020-03-16,54
2020-03-17,55
2020-03-18,55
2020-03-19,57
2020-03-20,58
2020-03-21,58
2020-03-22,58
2020-03-23,57
2020-03-24,55
2020-03-25,53
2020-03-26,50
2020-03-27,48
2020-03-28,47
2020-03-29,48
2020-03-30,50
2020-03-31,52
2020-04-01,54
2020-04-02,56
2020-04-03,58
2020-04-04,60
2020-04-05,62
2020-04-06,63
2020-04-07,65
2020-04-08,66
2020-04-09,66
2020-04-10,68
2020-04-11,69
2020-04-12,70
2020-04-13,71
2020-04-14,70
2020-04-15,71
2020-04-16,72
2020-04-17,73
2020-04-18,72
2020-04-19,71
2020-04-20,67
2020-04-21,63
2020-04-22,62
2020-04-23,63
2020-04-24,64
2020-04-25,61
2020-04-26,59
2020-04-27,59
2020-04-28,60
2020-04-29,60
2020-04-30,59
2020-05-01,58
2020-05-02,59
2020-05-03,59
2020-05-04,58
2020-05-05,57
2020-05-06,57
2020-05-07,57
2020-05-08,57
2020-05-09,58
2020-05-10,59
2020-05-11,60
2020-05-12,60
2020-05-13,61
